Signatures	Stability	Total Mutations
SBS80A	0.702	563105
SBS80B	0.14	329399
SBS80C	0.447	264405
SBS80D	0.621	257862
SBS80E	0.684	213853
SBS80F	0.662	167289
SBS80G	0.007	164863
SBS80H	0.538	152215
SBS80I	0.775	151897
SBS80J	0.837	127753
SBS80K	0.551	120551
SBS80L	0.936	118641
SBS80M	0.797	116711
SBS80N	0.567	113527
SBS80O	0.178	113333
SBS80P	0.269	71467
SBS80Q	0.096	63694
SBS80R	0.951	36914
SBS80S	0.951	34729
SBS80T	0.462	33283
SBS80U	0.24	33068
SBS80V	0.509	31064
SBS80W	0.646	30457
SBS80X	0.165	29521
SBS80Y	0.763	27476
SBS80Z	0.794	27005
SBS80AA	0.237	24187
SBS80AB	0.093	23808
SBS80AC	0.658	22733
