Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
0009b464-b376-4fbc-8a56-da538269a02f	2673	0.997	261.965	9.8%	44.739	7.473%	0.02324	0.996
003819bc-c415-4e76-887c-931d60ed39e7	467	1.0	28.521	6.107%	8.577	2.689%	0.02347	1.0
0040b1b6-b07a-4b6e-90ef-133523eaf412	659	0.999	52.97	8.038%	9.533	3.172%	0.034	0.999
00493087-9d9d-40ca-86d5-936f1b951c93	493	1.0	38.006	7.709%	6.754	2.143%	0.0494	1.0
00508f2b-36bf-44fc-b66b-97e1f3e40bfa	858	0.999	115.293	13.437%	20.468	6.283%	0.06388	0.999
005794f1-5a87-45b5-9811-83ddf6924568	486	1.0	39.848	8.199%	11.69	3.646%	0.04602	1.0
005e85a3-3571-462d-8dc9-2babfc7ace21	522	1.0	34.252	6.562%	6.267	2.009%	0.0445	1.0
007aab66-2f07-459d-8952-3041d6ea24a8	461	1.0	32.993	7.157%	9.809	3.064%	0.03251	1.0
008aef39-0c97-48ce-9dfd-f12d67116c59	825	0.998	116.563	14.129%	20.129	6.04%	0.06559	0.998
008bad10-d41b-4bbb-86fa-9976ecea46b1	723	1.0	61.585	8.518%	10.008	3.275%	0.04274	1.0
00aa769d-622c-433e-8a8a-63fb5c41ea42	471	1.0	28.124	5.971%	7.615	2.397%	0.0284	1.0
00b9d0e6-69dc-4345-bffd-ce32880c8eef	486	1.0	21.903	4.507%	4.588	1.415%	0.02142	1.0
00bf0350-8c7c-4b9e-8143-13ea2dc1122f	527	1.0	41.307	7.838%	7.716	2.403%	0.05885	1.0
00c27940-c623-11e3-bf01-24c6515278c0	611	1.0	64.679	10.586%	12.871	4.112%	0.05187	1.0
00db1b95-8ca3-4cc4-bb46-6b8c8019a7c7	765	0.994	135.096	17.66%	35.335	11.587%	0.09173	0.993
00db4dc2-3ec7-4ff9-9233-d69c8c8a607f	1982	0.997	184.636	9.316%	33.878	7.241%	0.02931	0.997
01658141-8398-4585-9f0f-8355dd9b0604	2422	0.992	282.495	11.664%	66.748	12.928%	0.05256	0.988
0168a2a6-c3af-4d58-a51c-d33f0fc7876d	517	1.0	30.92	5.981%	5.671	1.771%	0.0371	1.0
0176cf1d-0760-4769-a493-277f4bb7585e	975	0.997	133.501	13.692%	25.947	8.032%	0.06645	0.997
0192d529-7340-45d8-a5f0-249cbb11ca19	736	0.999	72.998	9.918%	12.698	4.056%	0.05093	0.999
01b0848c-ae36-4ade-a3da-d297b003c99f	2012	0.993	262.099	13.027%	52.159	11.863%	0.05135	0.99
01c8e465-2b4e-4519-bdef-c3ac06b43eeb	521	1.0	32.873	6.31%	5.621	1.76%	0.04213	1.0
01dc6872-c623-11e3-bf01-24c6515278c0	672	0.999	78.151	11.63%	15.156	4.884%	0.05717	0.999
01df36af-3617-40fc-9892-f54ce433cf71	1700	0.998	181.162	10.657%	28.82	7.074%	0.03253	0.997
02078f77-2b35-4fa3-ab02-2c017181295e	461	1.0	28.42	6.165%	8.323	2.6%	0.02656	1.0
020fab36-c7de-4933-b2bf-dc7b019a1326	1718	0.996	162.584	9.464%	34.66	8.719%	0.04348	0.995
