Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
0ed2e2e1-2fe3-43eb-8cad-34f3f21a7169	1604	0.92	748.081	46.638%	170.477	39.645%	0.24068	0.903
0ed63d84-d3fe-4289-9255-35f4a03b703b	482	1.0	49.138	10.195%	19.313	5.922%	1000.0	1.0
0eeafcd6-c623-11e3-bf01-24c6515278c0	613	0.999	88.443	14.428%	14.677	4.784%	0.06736	0.999
0ef92ff8-829f-425a-91d8-c594b6e22a2b	1146	0.988	267.274	23.322%	50.016	15.845%	0.1704	0.985
0efb6e20-236d-4640-9373-6fc03e67d090	456	1.0	22.564	4.948%	7.181	2.229%	0.01197	1.0
0efee3f3-313b-44eb-b3b0-af975a1ded82	729	0.993	152.254	20.885%	35.954	11.468%	0.13054	0.993
0f53e757-1823-409f-a0ea-249270728e15	972	0.955	380.773	39.174%	109.663	29.892%	0.36391	0.951
0f6b355e-3898-4be6-be97-da0c3840a4ed	769	0.997	145.655	18.941%	22.106	7.543%	0.08891	0.997
0f9e70b3-24cf-4d76-af7b-84ace66ec5a7	1094	0.99	224.942	20.561%	42.519	14.118%	0.0767	0.988
0fa9cfba-0f49-47d0-ab54-9dd2144e0a73	557	0.999	72.454	13.008%	15.057	4.787%	0.09258	0.999
0fbd94b1-bb34-4620-841b-861a0b5e0c12	985	0.989	249.589	25.339%	45.524	14.792%	0.11549	0.987
0fc63b79-7fff-441d-88fc-922d53c787ab	1156	0.948	421.551	36.466%	104.232	31.879%	1000.0	0.938
10136472-c623-11e3-bf01-24c6515278c0	474	1.0	31.279	6.599%	13.268	4.065%	1000.0	1.0
1021b60d-f7b2-43b0-b2cc-f282d619d533	2924	0.996	410.293	14.032%	65.283	8.706%	0.03273	0.996
105a51c4-cc7e-4d0f-9cf8-e4d64a31d14d	1297	0.993	266.543	20.551%	43.575	12.158%	0.0666	0.992
108749d2-5c62-4ef1-92df-aec6941ba53b	526	1.0	56.595	10.76%	10.511	3.301%	0.05742	0.999
108b67d4-5d66-46da-8675-6acae643b76f	651	0.999	106.201	16.314%	16.766	5.396%	0.08016	0.999
10ad692b-4c3d-42de-9b5e-4968441388b3	585	0.999	73.793	12.614%	15.733	5.147%	0.06929	0.999
10bb1a92-901e-4a14-80f4-5e88f997754b	741	0.995	142.759	19.266%	32.199	10.307%	0.1199	0.994
10cb8ac6-c622-11e3-bf01-24c6515278c0	732	0.998	134.738	18.407%	22.279	7.569%	0.08279	0.998
10d15b7a-16d1-4953-aaef-f193ffa97f42	746	0.993	175.709	23.553%	36.071	11.827%	0.14389	0.992
10db2142-c623-11e3-bf01-24c6515278c0	622	0.994	157.071	25.253%	35.388	11.337%	0.24465	0.994
110b5f05-ded7-45ec-b0f6-a941c92d77dd	4418	0.968	1200.349	27.17%	242.738	25.133%	0.0982	0.956
1127b561-ea40-4d5e-95df-daa0a5ebc1e4	511	1.0	49.359	9.659%	9.335	2.916%	0.04535	1.0
