MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R	SBS80S	SBS80T	SBS80U	SBS80V
BP10MB[0]	0.7372383546829223	0.45330639570951464	0.04256869739425237	0.0011476848473083259	0.6624071609973907	0.0014372931201254763	0.03051007169065997	0.034479276163880586	0.01630153063058975	0.06476984496686658	0.01820725080387222	0.04289185487942854	0.012114492640221398	0.09575275677428867	0.015044447067369893	0.026963103633012415	0.01508106868680525	0.019434068525093898	0.07590474889613712	0.047511414685115	0.0467799784995139	0.02569989861815893
BP10MB[1]	2.309081281737235e-09	0.03652468795213424	0.054392309095710516	2.7183209313079714e-05	0.05154221417446934	0.0026790015242296695	0.0011278107833775151	0.0034755922714975896	0.002416222883074752	0.005567669324082089	0.004365848693528989	0.0050368710996190206	0.002072026707464829	0.0162999684097349	0.007438359766019857	0.007415461074715495	0.0033943725052904485	0.0026186771552170283	0.001434446532543916	0.0032246889387816734	0.015227450669517566	0.0009029776388449375
BP10MB[2]	0.0	0.08786937304306776	0.05298480351921171	0.0039823481323037445	0.010865039300994903	0.0013479875587018861	0.0	0.030173724287888035	3.582670070500171e-05	0.05706498609855771	0.012079156613141745	0.006320063317543827	0.004310177777224453	0.003743424394124299	0.01436791394439144	0.0031989112381597806	0.009229206630843909	0.0027072106394916773	0.0008624575748399366	0.0015720315417274832	0.01335748348501511	0.01001347693758717
BP10MB[3]	1.8386228983757747e-09	0.0015783793756553165	0.03231851875782013	0.0019257070744081678	0.00029925729671958834	0.0026039556122850627	0.00040454509995470453	0.004357366325639305	0.001378250870533293	0.006809770453255624	0.0014988428666015351	0.0015345236200236911	0.0001360720399679849	0.005734933770753372	0.004500452856154311	0.005970912466899279	0.002269416826881637	0.001192477361825297	0.00037558651848144107	0.0010437675353351494	0.002302642070223311	0.003859424437277994
BP10MB[4]	5.130068592151815e-09	0.0027949503442505374	0.018574998788535593	0.010941870333808765	1.3823800003979805e-20	0.0008376088820423888	2.802596928649634e-47	0.012413361065700883	0.00048282432906464833	0.014395916124340147	0.0019262887193769985	0.0010790811627677682	0.003916945451137579	0.0004907057038872154	0.007020168998526799	0.0035186022419622987	0.0006899782473510641	0.0014502942190620161	2.802596928649634e-47	0.00012841041770627725	0.0039805464179335105	0.0029145421229821978
BP10MB[5]	2.4452026317067776e-08	0.0	0.008051342547405511	0.004419528951244729	0.0	0.002228020426045987	0.0011415934905016911	0.0013517802185856454	0.0004575687047201882	0.002997972660596133	0.00023748335050186142	0.0002846909857751001	0.00016053024592110887	0.0015672369358879401	0.00133646197525195	0.002044730134856841	0.0002171242093760384	0.00039227508625742756	0.0015370583097546841	0.0010227445034002725	0.0004308609068618807	0.000753073614202151
BP10MB[>5]	2.2975044188244807e-08	0.0	0.0005053654708899557	0.02607922853037621	0.0	0.010257489605820638	0.015221758615225553	0.003991127985937055	0.0016129040959629037	0.00145961449976312	0.00015952300454955549	0.000446286251238881	0.012159198562731035	1.568760012560233e-08	0.0006165678121578821	0.0014063490852959598	1.2997987965945867e-08	0.00026135815518991024	0.000785390925694518	0.0012670184311912181	0.0016768293745872142	0.00027078248762663293
BPArm[0]	0.10812697172164917	0.01647700269240886	0.0019698722049361094	0.0001255635093912139	0.041216579042375086	8.522441443041189e-05	0.0010736926996469266	0.0027722259597029735	0.001779810523366815	0.0031852782532223512	0.0010600961631598693	0.0022753718988115256	0.00033937404848984444	0.001352348888758572	0.0033237752222339623	0.00171887193276227	0.001068490429919124	0.0025263915813411642	0.004070313725387683	0.0005764782572472094	0.0022250771362814703	0.0015468042042777852
BPArm[1]	0.0005566480764167255	0.007133404137566686	0.0001060107732371307	2.3303834073562514e-09	0.020019540438938072	3.1657136689844377e-10	1.7137495649439672e-05	8.452009403470129e-10	6.933633471817302e-09	0.0	7.263677211710728e-08	0.00013421015070875342	0.00012222040347593667	0.0021159033821346895	0.00014059036742111175	7.455661572197236e-05	0.0003909427110785657	2.233340631580205e-05	1.401298464324817e-47	4.0807619237739344e-05	0.0012337137224240635	3.861513349079359e-09
BPArm[2]	0.0008988276545666452	0.018985985658432583	0.0	1.077192479659317e-09	0.030730420730542392	1.5893941718303495e-10	2.366361855919763e-05	9.981301399377252e-05	0.0002689233187449247	0.00020274508754859256	1.401298464324817e-47	0.0007006563286300605	6.324724265697412e-05	0.00019560644012017292	9.284919230264021e-06	1.8470265725767376e-06	8.733572071218277e-05	6.655731587670743e-05	8.845051612254906e-05	2.4950974274347003e-05	0.00016528475138478883	0.00013917578967522103
BPArm[3]	4.4334634008436066e-08	0.005762197481817566	0.0015087528128060511	4.247783187691923e-06	0.00665477166439814	1.3517756024761241e-06	1.1340929066001593e-05	0.00040841936781769837	2.220308628366752e-06	0.0003041004432765249	0.00031634309395010883	0.00047482981353070387	0.00027487068873597307	0.0017999110169482435	0.0005351512743800412	0.00040659509977331254	0.0004942106465392015	0.0001705358961089587	8.79013038593257e-05	0.0003971660615589201	0.0016884454070017149	4.08724793305737e-05
BPArm[4]	1.0967779600079552e-08	0.014613164253823925	0.0007822985331586097	0.0	0.0045050991928000175	1.5759846064611338e-07	0.0003704898795560041	0.0013288138037614772	3.206860599391017e-05	0.001910806187806884	0.00014571622464927713	0.0007585025342184881	0.0001867592750204494	0.0005897379432099114	0.00015689094230765478	9.46060469505028e-05	0.00028715292224660514	0.000301317542889592	0.00018160032752348343	4.992529673614854e-05	0.0010963412084242917	0.0003321957495063543
BPArm[5]	3.308510162280953e-08	0.003619942809746135	0.0032244611966728252	0.0	0.0013029457152975966	3.895275222021155e-06	3.424687403423832e-05	0.0006511326089116664	4.212830874536166e-05	0.0006968618430983043	0.0005246898474936045	0.0004360887722361895	0.00013924513499439685	0.0012752816293522074	0.0005313694488032329	0.0004532609615060597	0.0002549472385794616	0.00018867015169234946	0.0002465354008018039	0.0009616858938730388	0.0009792407437840816	0.0003397760341928091
BPArm[6]	4.398874698940957e-09	0.00702324668872734	0.0017662918599921796	8.8952853985802e-06	0.0005399859821498865	0.00011086643808994268	7.39444492205621e-05	0.0018974818163884778	0.00020039894779696967	0.0032459259248571472	0.00024699519186199836	0.0005178107773383367	0.000539828344626585	0.001190987723232908	0.0003141295190791027	0.0005295130305668749	0.00022250990808970529	0.0003033745780277286	0.0001245314228935649	0.00025890455040130435	0.0012249667853429002	0.00048169788487484766
BPArm[7]	3.187208481580939e-08	0.0016429962735855952	0.003636445769370766	2.802596928649634e-47	0.00023602140077855438	0.00014782303095898898	3.0129387517852462e-05	0.00029579057387138616	1.1513225942922922e-05	0.001046970735897048	0.00031536154368041027	0.0002829729458218822	0.00012661475526352107	0.002076024242614949	0.0009545526623946899	0.0004568487840401758	0.00022147174383377446	0.00016767709463641367	7.726149691507089e-05	0.00043724732620304964	0.0005397609859094565	0.0016424306639373754
BPArm[8]	1.396072382586766e-08	0.003188301995767233	0.002772046616883017	6.620592047397622e-05	8.430809597484768e-05	0.0001133923753367554	1.8402145360596478e-06	0.0015240442514186726	0.00026054879441328894	0.00253642051051429	7.0310674564098e-05	0.00027391878098655137	0.00028109744496759956	0.0007338673599085155	0.0003772550177791345	0.0003177713160539497	0.00011171592188475188	0.0004391304057162415	0.00039843635481930486	0.00021963727567101188	0.0007320916590106207	0.00028570521379833735
BPArm[9]	2.3625020384443474e-08	0.0004344654119631741	0.002771163295255974	5.976717782345986e-05	1.3416617639450123e-05	0.00010128031181011465	4.018718609586358e-06	0.0007014145069933875	3.1594932411875834e-05	0.001352674744794058	0.000455723733189006	0.000156341457808864	0.00011298019493316324	0.0017118446632238716	0.0007560593765219892	0.0005394074576224739	0.00036310896588247487	0.00030210310730410583	8.805347244890546e-05	0.00024376426301465416	0.00031240340544997025	0.0004030858557484862
BPArm[10]	2.0757540304394695e-08	0.0011683333807741292	0.0024739761955243013	0.0003195197145714701	5.278324824757874e-06	1.1660009804472792e-05	5.256161966826767e-07	0.0011230030747307752	0.00012206728386729537	0.002406800338358153	0.0002011495560327603	0.00021463529732288226	0.00030541193040495074	0.00035589752605051856	0.0004927650090522206	0.0003048636888343026	6.904898444190621e-05	0.00020748104063386563	4.771687655534152e-05	0.0003019807574303712	0.0005576275268686004	0.0006529810582674345
BPArm[>10 & <=20]	1.7052318339594307e-08	0.00011605031788349152	0.014315056893974543	0.0035639519021287923	0.0	0.0007614336149754309	5.965248805296142e-05	0.00428042252533487	0.00016455285245967844	0.008034653312060982	0.0005967937764745559	0.0003685833308614406	0.0022226954903345588	0.0007197353708988885	0.002371522051471402	0.0015308629594555612	0.00011955873709212029	0.00036867433082079517	0.00029531224638816995	0.0006362838334354137	0.0013167586538475008	0.0021035289122141878
