Samples	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I
0664753b-7566-41e0-8006-7009c6735406	54	237	0	347	264	300	102	0	69
068f4f69-d2fe-4f25-912e-ca7d4623efb6	385	61	0	6	47	17	19	0	9
06dad93a-4b67-49b3-8fa5-f2546e22bae7	210	170	84	119	124	70	85	58	47
06ecd127-6c24-422d-a7fb-bf5aee1b8b7b	296	127	42	56	90	21	53	0	0
072f4146-c623-11e3-bf01-24c6515278c0	428	27	4	0	13	0	16	1	0
074fd614-5d9c-4bcc-96ad-351aa14387e3	357	85	2	10	64	0	13	0	0
07531318-87e8-4db8-aa61-9b93597d063b	352	94	3	0	70	7	46	2	0
075fc96d-6742-4ef3-9369-482592ad3a2f	208	0	341	0	454	768	210	1777	0
07835447-5d7e-4828-80fd-89b063989c9a	320	112	40	10	104	14	24	18	29
079bcb09-a075-4313-9a3e-dd67734a8c5d	203	237	119	87	44	84	0	35	39
07a7c634-bd9a-4fc2-b9fe-87b060ec3d1f	423	11	0	0	84	36	3	0	0
07b5141f-ac79-439b-883b-b0183bbe7ff5	0	449	0	93	236	60	44	0	29
07d20658-3db4-47e7-877b-66536266edfc	212	227	0	30	172	16	46	0	23
07e0e938-f61f-477a-92a2-5b7e74b78943	176	257	17	24	54	138	116	0	0
07f16397-71bb-4594-ad4d-caa7d2baeabd	271	151	0	14	247	56	13	0	0
080ecc31-756a-4a1b-a51e-d632ac8219f7	163	253	458	141	27	261	0	133	48
08227616-02a5-46e8-9db1-f2d1d691ab23	31	381	287	184	0	96	98	140	0
0831e45e-c623-11e3-bf01-24c6515278c0	182	255	15	66	87	41	55	0	29
089be98d-c3c9-4fb4-aef2-7a8578a91d51	225	207	0	65	224	0	20	0	0
08ac57ec-0036-4134-a9bb-f22eaa27ab0d	220	222	8	74	281	26	0	5	0
08b5d0e4-4661-460e-a9f7-f2e687414711	322	56	160	0	0	19	144	0	0
08d2a566-8407-4e9b-836c-bf5e1e9f85b2	455	0	5	0	8	0	7	2	0
08e1d976-6c39-428e-a4c2-f655b675683e	411	24	0	0	15	4	54	0	0
08f7812b-0d74-42ba-985b-d0a027e8a80c	441	16	0	0	14	0	8	1	0
09497b9b-6fca-48cb-af97-161a3e434a51	0	12	1967	228	10	804	391	1605	106
09508a0d-ebe0-4fa1-b7b2-1710814181cd	0	0	4067	584	77	590	485	402	0
09537dce-c797-4b60-962a-d4c3cd6ab00a	441	16	6	0	10	0	0	2	0
0972bfcf-c6c6-48cc-b820-cdfa6279a4f3	188	222	358	156	79	289	13	116	0
097a7d36-905b-72be-e050-11ac0d482c9a	304	135	0	24	132	0	0	0	0
0980e7fd-051d-45e9-9ca6-2baf073da4e8	370	93	0	0	30	19	11	0	0
09bc8542-4ea1-4599-91b3-d606425b37e2	127	149	416	342	196	190	55	143	222
09cb8bc5-13ac-44ac-9b7d-6de143373570	214	225	200	0	15	94	36	37	112
09e1fe3e-bfd8-4175-ac42-0e1bf0ba5523	89	325	0	0	464	23	0	0	32
0a6be23a-d5a0-4e95-ada2-a61b2b5d9485	291	133	5	0	93	0	61	0	0
0a9c9db0-c623-11e3-bf01-24c6515278c0	215	278	118	1	3	27	0	0	0
0ab4d782-9a50-48b9-96e4-6ce42b2ea034	297	163	7	26	105	10	11	0	0
0ae2193f-0d68-485a-b8c2-7568cbcce33e	390	37	4	29	27	17	32	0	10
0b19bee7-5281-4915-9d98-c20eb3e84ecf	90	330	17	156	332	22	35	5	0
0b29c893-03bf-4131-b192-c14a2788d411	309	166	77	0	0	27	0	0	0
0b6cd7df-6970-4d60-b7b5-85002a7d8781	442	16	1	4	6	0	10	2	5
0b811c6a-8f05-44bd-ac33-fb720d189e71	460	0	0	9	0	0	0	4	0
0ba8f2e2-935a-4123-86aa-6e7f5de85bf4	419	21	0	11	17	0	7	0	0
0bafd9ae-64b3-492d-a6fd-12aa8edefcbe	384	60	0	15	85	24	8	0	0
0bbc7ede-5022-4084-925c-d65baaf7abc2	89	318	258	83	122	75	101	237	0
0bd3a230-531e-44aa-9999-b8ed8da0176b	269	162	0	2	160	11	20	0	0
0be08326-c623-11e3-bf01-24c6515278c0	201	279	14	0	90	20	32	5	0
0bfd1043-5142-3662-e050-11ac0c486501	161	191	154	256	110	138	57	2	177
0bfd1043-70fb-d2dc-e050-11ac0c4860cb	185	175	143	231	123	151	113	0	3
0bfd1043-7343-fdd0-e050-11ac0c484cab	0	313	628	344	39	84	98	509	25
0bfd1043-7344-fdd0-e050-11ac0c484cab	11	0	627	1533	775	1079	0	0	27
0bfd1043-7346-fdd0-e050-11ac0c484cab	188	219	206	61	8	69	157	0	0
0bfd1043-7ebf-aaec-e050-11ac0c482f39	82	184	148	271	653	331	9	98	318
0bfd1043-7ec1-aaec-e050-11ac0c482f39	22	272	156	315	552	198	76	0	136
0bfd1043-7ed6-9ccc-e050-11ac0c481957	222	158	189	40	3	84	191	0	0
0bfd1043-816e-e3e4-e050-11ac0c4860c5	35	0	527	1455	693	914	0	0	0
0bfd1043-8170-e3e4-e050-11ac0c4860c5	0	352	293	356	37	282	87	0	123
0bfd1043-8172-e3e4-e050-11ac0c4860c5	0	404	331	249	35	166	94	15	45
0bfd1043-8173-e3e4-e050-11ac0c4860c5	0	380	386	256	16	162	132	24	33
0bfd1043-8175-e3e4-e050-11ac0c4860c5	0	375	391	262	10	154	148	0	0
0bfd1043-8177-e3e4-e050-11ac0c4860c5	260	160	19	72	131	14	48	0	0
0bfd1043-817c-e3e4-e050-11ac0c4860c5	42	282	96	260	512	172	85	0	54
0bfd1043-817e-e3e4-e050-11ac0c4860c5	0	326	0	215	615	293	145	34	0
0bfd1043-8180-e3e4-e050-11ac0c4860c5	23	0	128	1195	619	1244	222	0	0
0bfd1043-8181-e3e4-e050-11ac0c4860c5	68	0	135	1019	439	997	217	0	0
0bfd1043-8183-e3e4-e050-11ac0c4860c5	1	334	0	257	516	234	109	7	57
0bfd1043-8187-e3e4-e050-11ac0c4860c5	51	0	197	1191	637	862	0	0	153
0bfd1043-8189-e3e4-e050-11ac0c4860c5	171	214	179	238	98	135	25	0	94
0bfd1068-3fc3-a95b-e050-11ac0c4860c3	0	394	374	308	38	196	72	0	0
0bfd1068-3fc5-a95b-e050-11ac0c4860c3	93	324	12	67	376	64	126	0	0
0bfd1068-3fca-a95b-e050-11ac0c4860c3	264	167	15	43	115	0	65	0	0
0bfd1068-3fcd-a95b-e050-11ac0c4860c3	246	137	195	139	144	195	37	44	106
0bfd1068-3fcf-a95b-e050-11ac0c4860c3	87	177	288	318	476	251	115	76	130
0bfd1068-3fd3-a95b-e050-11ac0c4860c3	0	383	429	369	87	14	0	454	0
0bfd1068-3fd5-a95b-e050-11ac0c4860c3	38	308	224	270	531	239	0	66	71
0bfd1068-3fd8-a95b-e050-11ac0c4860c3	44	261	188	177	748	558	97	148	58
0bfd1068-3fdd-a95b-e050-11ac0c4860c3	122	170	196	309	589	435	27	137	153
0bfd1068-3fdf-a95b-e050-11ac0c4860c3	0	0	145	1198	569	1327	268	0	0
0bfd1068-3fe1-a95b-e050-11ac0c4860c3	8	0	124	1179	612	1194	253	0	0
0bfd1068-3fe4-a95b-e050-11ac0c4860c3	177	176	179	244	121	166	110	0	55
0bfd1068-3fe6-a95b-e050-11ac0c4860c3	47	0	212	1193	618	856	0	0	156
0bfe2ac9-0aec-c248-e050-11ac0d487e1c	257	102	225	64	0	122	250	0	0
0bfe2ac9-0aee-c248-e050-11ac0d487e1c	248	149	192	46	2	73	173	0	0
0bfe2ac9-0af3-c248-e050-11ac0d487e1c	14	327	0	229	535	189	50	14	135
0bfe2ac9-0af5-c248-e050-11ac0d487e1c	57	170	150	219	817	519	99	139	299
0bfe2ac9-0af8-c248-e050-11ac0d487e1c	73	220	131	249	697	416	39	121	175
0bfe2ac9-0afa-c248-e050-11ac0d487e1c	206	176	178	208	75	182	89	0	33
0bfe2ac9-0afd-c248-e050-11ac0d487e1c	158	178	98	329	163	143	48	11	175
0bfe2ac9-0aff-c248-e050-11ac0d487e1c	159	216	214	231	95	163	34	0	90
0bfebf9f-c779-e57d-e050-11ac0d487827	72	212	207	239	708	338	0	108	273
0bfebf9f-c77d-e57d-e050-11ac0d487827	13	0	156	1195	567	1269	264	0	0
0bfebf9f-c77f-e57d-e050-11ac0d487827	90	73	570	276	204	444	488	336	66
0bfebf9f-c781-e57d-e050-11ac0d487827	201	121	163	274	95	108	163	0	81
0bfebf9f-c783-e57d-e050-11ac0d487827	160	174	189	256	110	191	159	0	46
0c0038ff-6cc4-b0b0-e050-11ac0d483d73	52	240	170	225	753	462	80	131	119
0c0038ff-6cc6-b0b0-e050-11ac0d483d73	85	210	153	282	714	426	24	87	147
0c0038ff-6cc8-b0b0-e050-11ac0d483d73	85	277	199	345	89	201	54	0	63
0c18a8b7-bad1-4aa4-a6df-472f89d9761c	449	0	0	0	2	0	0	4	0
0c39c03a-ec84-42c6-be69-8e98bc7a9f5a	0	245	789	257	0	216	331	74	0
0c7aca3f-e006-4de3-afc2-20b4f727d4fd	32	314	463	335	56	230	77	301	50
0c8f7e63-7a3e-42e8-9408-c5cbd2f52f9d	445	10	0	11	9	0	4	2	0
0c9a5dbc-f7f3-43e7-83d1-77b9fb4b8b54	387	55	4	0	27	0	40	0	0
0cb4356c-b5d6-4541-b048-ff6d4b3a5d26	151	88	48	0	211	90	514	0	0
0cd60b96-eb2d-4687-9709-d1455ec45de7	158	269	112	100	27	35	14	50	100
0cdbabf2-c623-11e3-bf01-24c6515278c0	243	203	130	31	25	18	35	0	70
0ce6f3ed-bdbc-4b70-9db4-2e48f4bf644d	424	21	0	1	7	0	5	10	0
0cf9bbc2-cbd5-4b64-8d90-cfa416307b39	239	200	184	85	0	81	0	40	0
0d0793c1-df1b-4db1-ba36-adcb960cc0f5	0	163	575	672	13	379	275	89	41
0d259ac2-03d1-4814-9b0b-d05e3a6029b7	307	159	13	20	63	10	0	0	10
0d31a44f-1fc5-43a2-9633-36c4e650d3d2	372	72	21	7	37	6	20	1	23
0d569bd5-418d-4d72-87ca-8e14668c2119	355	78	0	24	38	26	16	0	0
0db9309e-7b95-4ae3-b0ed-dfd4f38d11b0	334	105	0	43	133	0	0	0	0
0dd0718d-5ddf-4c59-8c47-0f51303daeb5	223	254	95	41	0	67	5	25	33
0dd39eca-c623-11e3-bf01-24c6515278c0	254	205	0	0	87	0	14	0	0
0e1e628b-823a-4861-aa95-bed2fada7349	458	0	0	3	7	0	4	2	1
0e54cea2-d568-4a33-b9db-b698844e6ad9	228	181	103	86	102	0	108	32	0
0e6654c9-cd5e-4f94-a6d4-54f2bb16de1f	130	292	213	204	44	9	47	279	0
0e6ca8dc-0f31-4675-95b1-5920576daeff	350	96	32	41	46	17	0	9	21
0e7ac212-0469-4f17-9432-205ab1831257	289	188	49	15	0	21	0	0	1
0e7f46ca-6f5c-4538-b6d6-00af65d57fcf	318	132	0	0	65	5	13	0	0
0e872e0d-4711-4364-a5d0-6beeb6fd3ff2	41	450	304	10	25	152	0	86	1
0ead45d8-d785-4404-8319-2ef951e02e03	0	31	1029	485	0	435	708	41	0
0ed2e2e1-2fe3-43eb-8cad-34f3f21a7169	0	0	130	0	245	134	1095	0	0
0ed63d84-d3fe-4289-9255-35f4a03b703b	452	0	0	7	0	7	4	0	12
0eeafcd6-c623-11e3-bf01-24c6515278c0	257	199	4	33	59	19	40	2	0
0ef92ff8-829f-425a-91d8-c594b6e22a2b	82	340	246	11	70	165	153	79	0
0efb6e20-236d-4640-9373-6fc03e67d090	446	0	0	1	1	0	5	3	0
0efee3f3-313b-44eb-b3b0-af975a1ded82	318	106	25	25	95	0	24	23	113
0f53e757-1823-409f-a0ea-249270728e15	412	0	202	4	0	310	0	44	0
0f6b355e-3898-4be6-be97-da0c3840a4ed	152	313	151	0	0	58	93	2	0
0f9e70b3-24cf-4d76-af7b-84ace66ec5a7	94	314	120	99	48	0	33	234	152
0fa9cfba-0f49-47d0-ab54-9dd2144e0a73	371	69	0	31	50	3	33	0	0
0fbd94b1-bb34-4620-841b-861a0b5e0c12	213	208	102	110	7	105	0	121	119
0fc63b79-7fff-441d-88fc-922d53c787ab	43	436	246	0	5	0	0	362	64
10136472-c623-11e3-bf01-24c6515278c0	459	0	0	0	10	0	0	5	0
