Samples	SBS80A	SBS80B	SBS80C
0972bfcf-c6c6-48cc-b820-cdfa6279a4f3	382	756	283
097a7d36-905b-72be-e050-11ac0d482c9a	222	0	373
0980e7fd-051d-45e9-9ca6-2baf073da4e8	90	0	433
09bc8542-4ea1-4599-91b3-d606425b37e2	634	1009	197
09cb8bc5-13ac-44ac-9b7d-6de143373570	132	424	377
09e1fe3e-bfd8-4175-ac42-0e1bf0ba5523	694	0	239
0a6be23a-d5a0-4e95-ada2-a61b2b5d9485	190	0	393
0a9c9db0-c623-11e3-bf01-24c6515278c0	66	174	402
0ab4d782-9a50-48b9-96e4-6ce42b2ea034	227	0	392
0ae2193f-0d68-485a-b8c2-7568cbcce33e	97	28	421
0b19bee7-5281-4915-9d98-c20eb3e84ecf	726	0	261
0b29c893-03bf-4131-b192-c14a2788d411	5	139	435
0b6cd7df-6970-4d60-b7b5-85002a7d8781	7	17	462
0b811c6a-8f05-44bd-ac33-fb720d189e71	0	11	462
0ba8f2e2-935a-4123-86aa-6e7f5de85bf4	32	1	442
0bafd9ae-64b3-492d-a6fd-12aa8edefcbe	168	0	408
0bbc7ede-5022-4084-925c-d65baaf7abc2	243	723	317
0bd3a230-531e-44aa-9999-b8ed8da0176b	271	0	353
0be08326-c623-11e3-bf01-24c6515278c0	249	0	392
0bfd1043-5142-3662-e050-11ac0c486501	583	400	263
0bfd1043-70fb-d2dc-e050-11ac0c4860cb	563	291	270
0bfd1043-7343-fdd0-e050-11ac0c484cab	59	1756	225
0bfd1043-7344-fdd0-e050-11ac0c484cab	2586	1466	0
0bfd1043-7346-fdd0-e050-11ac0c484cab	192	351	365
0bfd1043-7ebf-aaec-e050-11ac0c482f39	1501	481	112
0bfd1043-7ec1-aaec-e050-11ac0c482f39	1335	272	120
0bfd1043-7ed6-9ccc-e050-11ac0c481957	190	326	371
0bfd1043-816e-e3e4-e050-11ac0c4860c5	2385	1239	0
0bfd1043-8170-e3e4-e050-11ac0c4860c5	716	627	187
0bfd1043-8172-e3e4-e050-11ac0c4860c5	459	634	246
0bfd1043-8173-e3e4-e050-11ac0c4860c5	412	737	240
0bfd1043-8175-e3e4-e050-11ac0c4860c5	410	696	234
0bfd1043-8177-e3e4-e050-11ac0c4860c5	333	11	360
0bfd1043-817c-e3e4-e050-11ac0c4860c5	1214	138	151
0bfd1043-817e-e3e4-e050-11ac0c4860c5	1505	0	123
0bfd1043-8180-e3e4-e050-11ac0c4860c5	2704	727	0
0bfd1043-8181-e3e4-e050-11ac0c4860c5	2250	625	0
0bfd1043-8183-e3e4-e050-11ac0c4860c5	1367	6	142
0bfd1043-8187-e3e4-e050-11ac0c4860c5	2378	713	0
0bfd1043-8189-e3e4-e050-11ac0c4860c5	511	366	277
0bfd1068-3fc3-a95b-e050-11ac0c4860c3	503	659	220
0bfd1068-3fc5-a95b-e050-11ac0c4860c3	784	0	278
0bfd1068-3fca-a95b-e050-11ac0c4860c3	285	0	384
0bfd1068-3fcd-a95b-e050-11ac0c4860c3	492	451	300
0bfd1068-3fcf-a95b-e050-11ac0c4860c3	1158	622	138
0bfd1068-3fd3-a95b-e050-11ac0c4860c3	162	1322	252
0bfd1068-3fd5-a95b-e050-11ac0c4860c3	1186	417	144
0bfd1068-3fd8-a95b-e050-11ac0c4860c3	1695	493	91
0bfd1068-3fdd-a95b-e050-11ac0c4860c3	1453	564	121
0bfd1068-3fdf-a95b-e050-11ac0c4860c3	2721	786	0
0bfd1068-3fe1-a95b-e050-11ac0c4860c3	2661	709	0
0bfd1068-3fe4-a95b-e050-11ac0c4860c3	590	372	266
0bfd1068-3fe6-a95b-e050-11ac0c4860c3	2341	741	0
0bfe2ac9-0aec-c248-e050-11ac0d487e1c	223	426	371
0bfe2ac9-0aee-c248-e050-11ac0d487e1c	157	340	386
0bfe2ac9-0af3-c248-e050-11ac0d487e1c	1316	23	154
0bfe2ac9-0af5-c248-e050-11ac0d487e1c	1878	529	62
0bfe2ac9-0af8-c248-e050-11ac0d487e1c	1600	415	106
0bfe2ac9-0afa-c248-e050-11ac0d487e1c	491	364	292
0bfe2ac9-0afd-c248-e050-11ac0d487e1c	735	331	237
0bfe2ac9-0aff-c248-e050-11ac0d487e1c	511	426	265
0bfebf9f-c779-e57d-e050-11ac0d487827	1508	536	113
0bfebf9f-c77d-e57d-e050-11ac0d487827	2678	786	0
0bfebf9f-c77f-e57d-e050-11ac0d487827	782	1595	170
0bfebf9f-c781-e57d-e050-11ac0d487827	534	396	276
0bfebf9f-c783-e57d-e050-11ac0d487827	615	416	254
0c0038ff-6cc4-b0b0-e050-11ac0d483d73	1681	457	94
0c0038ff-6cc6-b0b0-e050-11ac0d483d73	1631	398	99
0c0038ff-6cc8-b0b0-e050-11ac0d483d73	672	421	220
0c18a8b7-bad1-4aa4-a6df-472f89d9761c	0	3	452
0c39c03a-ec84-42c6-be69-8e98bc7a9f5a	254	1474	184
0c7aca3f-e006-4de3-afc2-20b4f727d4fd	395	1242	221
0c8f7e63-7a3e-42e8-9408-c5cbd2f52f9d	14	11	456
0c9a5dbc-f7f3-43e7-83d1-77b9fb4b8b54	61	7	445
0cb4356c-b5d6-4541-b048-ff6d4b3a5d26	684	114	304
0cd60b96-eb2d-4687-9709-d1455ec45de7	219	303	343
0cdbabf2-c623-11e3-bf01-24c6515278c0	125	237	393
0ce6f3ed-bdbc-4b70-9db4-2e48f4bf644d	1	19	448
