NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	227.557	20.042	45.35	11.774	0.083	0.989	90000.0
2	227.661	20.0	45.362	11.757	0.083	0.989	100000.0
3	222.341	19.396	44.307	11.474	0.083	0.989	50000.0
4	226.056	19.909	44.959	11.662	0.082	0.989	80000.0
5	225.796	19.894	44.957	11.653	0.083	0.989	80000.0
6	224.352	19.838	44.477	11.562	0.083	0.99	60000.0
7	222.92	19.681	43.927	11.426	0.082	0.99	50000.0
8	223.123	19.705	44.179	11.486	0.083	0.99	60000.0
9	224.538	19.851	44.096	11.501	0.083	0.99	90000.0
10	224.445	19.821	44.455	11.594	0.083	0.989	120000.0
11	225.675	19.891	44.669	11.596	0.083	0.989	80000.0
12	224.129	19.709	44.043	11.426	0.084	0.989	60000.0
13	226.635	19.927	45.015	11.629	0.083	0.989	70000.0
14	224.908	19.915	44.459	11.569	0.083	0.99	70000.0
15	219.174	19.06	43.874	11.316	0.083	0.989	80000.0
16	225.044	19.743	44.668	11.558	0.082	0.989	50000.0
17	224.307	19.852	44.317	11.556	0.083	0.989	100000.0
18	222.038	19.273	44.426	11.466	0.083	0.989	40000.0
19	223.939	19.766	44.239	11.512	0.082	0.99	110000.0
20	225.973	19.877	44.865	11.645	0.083	0.989	90000.0
21	226.107	19.878	44.8	11.606	0.083	0.989	60000.0
22	226.732	19.916	45.064	11.686	0.083	0.989	70000.0
23	224.572	19.716	44.689	11.542	0.082	0.989	60000.0
24	223.317	19.74	44.254	11.502	0.083	0.99	70000.0
25	219.371	19.142	43.629	11.277	0.083	0.99	60000.0
26	222.056	19.441	44.3	11.496	0.084	0.989	80000.0
27	226.395	19.947	44.687	11.607	0.082	0.989	60000.0
28	217.092	18.964	43.18	11.147	0.083	0.99	50000.0
29	224.124	19.766	44.777	11.614	0.083	0.989	60000.0
30	223.662	19.75	44.341	11.523	0.082	0.99	50000.0
31	225.642	19.86	45.131	11.685	0.083	0.989	80000.0
32	219.385	19.082	43.63	11.239	0.082	0.99	60000.0
33	224.561	19.881	44.654	11.624	0.083	0.989	60000.0
34	225.492	19.8	44.835	11.598	0.082	0.989	100000.0
35	223.441	19.685	44.398	11.547	0.082	0.989	100000.0
36	219.772	19.081	43.751	11.258	0.082	0.99	100000.0
37	221.319	19.347	43.563	11.246	0.083	0.99	60000.0
38	224.414	19.767	44.546	11.562	0.082	0.989	60000.0
39	223.528	19.736	44.072	11.459	0.083	0.99	140000.0
40	223.321	19.712	44.281	11.509	0.082	0.99	60000.0
41	226.988	19.979	45.055	11.72	0.083	0.989	120000.0
42	221.754	19.425	43.682	11.321	0.083	0.989	100000.0
43	222.416	19.664	44.445	11.548	0.083	0.99	40000.0
44	217.016	19.023	42.988	11.155	0.084	0.99	80000.0
45	225.149	19.837	44.764	11.598	0.082	0.989	60000.0
46	226.499	19.944	44.928	11.671	0.083	0.989	60000.0
47	224.16	19.745	44.241	11.486	0.082	0.99	100000.0
48	226.21	19.822	44.934	11.613	0.082	0.989	60000.0
49	225.701	19.898	44.954	11.673	0.083	0.989	70000.0
50	224.589	19.734	44.694	11.582	0.082	0.989	90000.0
51	226.753	19.959	45.139	11.693	0.083	0.989	90000.0
52	226.196	19.964	45.097	11.698	0.083	0.989	80000.0
53	219.41	19.154	43.951	11.387	0.083	0.989	70000.0
54	224.1	19.738	44.404	11.523	0.083	0.989	110000.0
55	224.182	19.737	44.53	11.547	0.083	0.989	80000.0
56	228.425	20.164	45.314	11.808	0.083	0.989	60000.0
57	227.431	19.987	45.182	11.712	0.083	0.989	80000.0
58	223.38	19.766	44.107	11.48	0.083	0.99	70000.0
59	221.697	19.266	44.511	11.467	0.083	0.989	90000.0
60	225.079	19.767	44.89	11.622	0.082	0.989	40000.0
61	218.324	19.138	43.935	11.386	0.084	0.989	80000.0
62	221.895	19.372	43.956	11.364	0.083	0.989	90000.0
63	223.765	19.741	44.241	11.487	0.082	0.99	70000.0
64	218.762	19.221	42.973	11.16	0.084	0.99	60000.0
65	223.593	19.764	44.282	11.528	0.083	0.989	60000.0
66	224.137	19.794	44.601	11.587	0.082	0.989	90000.0
67	226.096	19.882	44.655	11.605	0.083	0.989	70000.0
68	225.132	19.815	44.719	11.588	0.083	0.989	60000.0
69	223.936	19.743	44.572	11.54	0.082	0.989	100000.0
70	226.151	19.994	44.872	11.704	0.083	0.989	60000.0
71	225.936	19.865	45.175	11.711	0.082	0.989	60000.0
72	226.485	19.963	45.279	11.771	0.083	0.989	60000.0
73	223.554	19.72	44.254	11.495	0.082	0.99	90000.0
74	221.817	19.385	44.111	11.382	0.084	0.989	80000.0
75	224.048	19.784	44.218	11.492	0.083	0.99	80000.0
76	219.555	19.112	43.785	11.313	0.083	0.99	50000.0
77	224.12	19.766	44.332	11.51	0.082	0.989	50000.0
78	226.013	19.986	44.82	11.668	0.083	0.989	70000.0
79	222.908	19.669	43.999	11.433	0.082	0.99	70000.0
80	226.511	20.053	44.937	11.725	0.083	0.989	140000.0
81	219.555	19.216	43.551	11.264	0.083	0.99	100000.0
82	224.972	19.839	44.702	11.612	0.083	0.989	90000.0
83	221.952	19.608	44.103	11.455	0.082	0.99	110000.0
84	224.462	19.77	44.222	11.483	0.083	0.989	70000.0
85	225.914	19.951	44.865	11.668	0.083	0.989	50000.0
86	224.714	19.868	44.447	11.571	0.083	0.989	80000.0
87	224.129	19.725	44.512	11.534	0.083	0.989	80000.0
88	225.49	19.786	44.706	11.534	0.083	0.989	100000.0
89	224.636	19.882	44.497	11.591	0.083	0.989	70000.0
90	227.233	20.055	45.194	11.768	0.083	0.989	50000.0
91	225.094	19.815	44.472	11.538	0.083	0.989	110000.0
92	219.415	19.211	43.786	11.346	0.083	0.989	80000.0
93	224.244	19.676	44.584	11.532	0.082	0.989	50000.0
94	224.971	19.818	44.577	11.58	0.082	0.989	50000.0
95	219.337	19.145	43.67	11.278	0.083	0.99	60000.0
96	219.955	19.487	43.85	11.428	0.082	0.99	70000.0
97	224.033	19.737	44.608	11.566	0.082	0.989	60000.0
98	224.556	19.773	44.35	11.532	0.082	0.989	80000.0
99	221.152	19.335	44.105	11.435	0.083	0.989	60000.0
100	223.174	19.627	44.432	11.502	0.082	0.99	70000.0
