Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
0009b464-b376-4fbc-8a56-da538269a02f	2673	0.965	887.93	33.218%	163.848	27.367%	0.09263	0.956
003819bc-c415-4e76-887c-931d60ed39e7	467	0.999	60.001	12.848%	14.962	4.69%	0.04785	0.999
0040b1b6-b07a-4b6e-90ef-133523eaf412	659	0.996	146.257	22.194%	28.253	9.401%	0.08698	0.995
00493087-9d9d-40ca-86d5-936f1b951c93	493	0.999	65.616	13.31%	12.626	4.006%	0.06656	0.999
00508f2b-36bf-44fc-b66b-97e1f3e40bfa	858	0.982	334.088	38.938%	65.986	20.254%	0.21074	0.98
005794f1-5a87-45b5-9811-83ddf6924568	486	0.998	88.084	18.124%	18.66	5.819%	0.11293	0.998
005e85a3-3571-462d-8dc9-2babfc7ace21	522	0.999	69.752	13.362%	13.31	4.267%	0.07554	0.999
007aab66-2f07-459d-8952-3041d6ea24a8	461	0.999	59.721	12.955%	15.153	4.734%	0.05139	0.999
008aef39-0c97-48ce-9dfd-f12d67116c59	825	0.985	316.642	38.381%	62.215	18.667%	0.18877	0.984
008bad10-d41b-4bbb-86fa-9976ecea46b1	723	0.997	125.104	17.303%	24.249	7.935%	0.08703	0.997
00aa769d-622c-433e-8a8a-63fb5c41ea42	471	0.999	48.069	10.206%	11.148	3.509%	0.04578	0.999
00b9d0e6-69dc-4345-bffd-ce32880c8eef	486	0.999	59.833	12.311%	14.587	4.499%	0.0445	0.999
00bf0350-8c7c-4b9e-8143-13ea2dc1122f	527	0.999	83.783	15.898%	15.787	4.916%	0.09548	0.999
00c27940-c623-11e3-bf01-24c6515278c0	611	0.998	115.372	18.882%	21.326	6.813%	0.11374	0.998
00db1b95-8ca3-4cc4-bb46-6b8c8019a7c7	765	0.977	321.418	42.015%	67.22	22.043%	0.23889	0.975
00db4dc2-3ec7-4ff9-9233-d69c8c8a607f	1982	0.98	606.598	30.605%	100.512	21.483%	0.10082	0.976
01658141-8398-4585-9f0f-8355dd9b0604	2422	0.976	634.607	26.202%	114.965	22.268%	0.09902	0.968
0168a2a6-c3af-4d58-a51c-d33f0fc7876d	517	0.999	61.385	11.873%	12.381	3.866%	0.05811	0.999
0176cf1d-0760-4769-a493-277f4bb7585e	975	0.989	270.117	27.704%	49.213	15.235%	0.14693	0.987
0192d529-7340-45d8-a5f0-249cbb11ca19	736	0.995	160.132	21.757%	32.593	10.41%	0.09472	0.995
01b0848c-ae36-4ade-a3da-d297b003c99f	2012	0.978	527.017	26.194%	92.179	20.965%	0.10011	0.971
01c8e465-2b4e-4519-bdef-c3ac06b43eeb	521	0.999	64.657	12.41%	12.413	3.887%	0.06507	0.999
01dc6872-c623-11e3-bf01-24c6515278c0	672	0.995	164.848	24.531%	32.829	10.579%	0.13866	0.995
01df36af-3617-40fc-9892-f54ce433cf71	1700	0.97	565.978	33.293%	105.148	25.808%	0.11123	0.963
02078f77-2b35-4fa3-ab02-2c017181295e	461	0.999	60.783	13.185%	15.955	4.984%	0.05248	0.999
020fab36-c7de-4933-b2bf-dc7b019a1326	1718	0.968	500.435	29.129%	100.638	25.316%	0.11513	0.958
0250e6f7-2538-4d1f-a8ff-ca34a7057dde	1392	0.93	566.735	40.714%	129.47	36.966%	0.2028	0.912
02706819-bcab-4c49-a569-a4a8c60db1c0	474	0.999	61.814	13.041%	17.029	5.217%	0.046	0.999
02917220-6a7a-46a1-8656-907e96bef88e	533	0.999	55.937	10.495%	10.58	3.451%	0.05511	0.999
0292a46f-a282-4b7f-a7d6-ac55cc7324fb	464	0.999	57.218	12.331%	14.811	4.643%	0.04746	0.999
02c6a893-49c5-49d1-8eb1-195021e70d52	603	0.999	89.195	14.792%	16.841	5.385%	0.08296	0.999
02c97e2b-914e-4afc-bf50-78f0cfbfa67b	724	0.992	215.299	29.737%	38.508	13.092%	0.13812	0.992
02e5c36f-5bec-45e2-a048-875653b85ca1	775	0.996	169.602	21.884%	28.387	9.308%	0.12085	0.995
030695f6-c623-11e3-bf01-24c6515278c0	883	0.991	236.441	26.777%	42.377	13.776%	0.12851	0.99
031962d6-fc7d-4c6c-9d47-ffa45997b249	487	0.999	73.332	15.058%	17.775	5.463%	0.06634	0.999
0332b017-17d5-4083-8fc4-9d6f8fdbbbde	605	0.995	141.156	23.332%	30.579	9.773%	0.13592	0.995
0363fe2c-d765-450e-8b1a-d13a23d9af2a	476	0.999	70.205	14.749%	17.693	5.409%	0.06836	0.999
0385961e-ea99-40b2-ad79-6872bc30d8a1	479	0.999	63.803	13.32%	13.938	4.386%	0.06077	0.999
03ad38a6-0902-4aaa-84a3-91ea88fa9883	518	0.999	76.024	14.676%	13.364	4.251%	0.07406	0.999
