Samples	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R	SBS80S	SBS80T
0448206f-3ade-4087-b1a9-4fb2d14e1367	30	0	716	835	0	459	264	182	33	191	207	163	185	132	52	75	0	29	19	224
046d7386-95c8-4501-9e55-c85bec272a7a	46	198	158	188	143	6	284	0	0	28	0	30	31	44	0	10	0	4	17	0
047f9e4d-86b5-4943-aef5-68199bf29e8c	170	117	3	104	112	16	53	117	34	55	28	14	24	26	52	14	17	4	2	23
04aa6b77-8074-480c-872e-a1a47afa5314	59	221	0	81	175	46	27	0	45	1	97	42	11	10	15	30	9	5	3	6
04b570c2-3224-4e9b-81cc-089b4a7ff07a	416	15	0	0	10	0	11	3	0	3	0	3	24	0	1	0	0	0	0	0
04b9837e-9ab5-4eb9-9a9c-ef49e3a62662	216	12	4	0	212	31	12	0	0	10	46	0	0	7	1	2	4	1	8	2
04c09376-8756-41d9-bbca-f464170a8cfb	226	159	66	166	35	0	33	18	31	10	103	48	39	0	16	11	15	9	1	0
04db8bef-8777-48ac-bc2e-3c9acb103f48	363	0	0	8	61	1	0	6	0	0	21	0	15	0	1	0	8	2	1	2
05070acd-3ec1-44bb-9c32-26d3a483a72a	276	55	128	0	57	13	98	0	17	8	0	16	20	11	32	0	0	0	1	16
051cb117-16fd-459e-81e5-002eca2b7eea	411	0	0	10	7	0	1	2	0	0	22	0	1	0	14	1	4	3	3	2
052015bc-8c24-467c-8ff7-9e0dc4ad39fd	212	56	76	26	142	0	90	1	0	14	0	20	41	17	0	0	4	0	3	0
052665d1-ab75-4f40-be5a-b88154c8beed	0	274	65	346	105	270	49	276	0	0	95	71	17	22	126	30	73	33	8	0
05486349-24a4-4931-bf5f-c9fefe369af2	340	27	48	34	57	0	53	4	7	0	7	0	15	0	10	0	1	4	4	0
0554ffe5-31f7-43f5-8372-2b73c9cf3527	359	15	5	1	61	4	5	4	0	6	38	0	10	1	3	3	0	3	3	2
05616329-e7ba-4efd-87b1-d79cd0f7af3d	254	59	15	54	116	0	17	0	5	3	18	2	33	31	0	0	0	3	0	0
0567d3e6-6278-4d0a-81ae-c084d73c6dd3	424	0	0	0	0	0	0	4	0	0	0	0	27	0	0	0	0	0	0	0
05780d48-80e7-4d70-b00c-081f8a9519f2	305	85	24	30	39	0	31	0	6	15	8	8	33	3	0	0	0	6	0	0
05c487aa-72d8-42e6-aa2b-b9b5ce273f5c	427	0	2	0	1	0	5	2	0	0	0	0	22	0	3	0	0	0	0	2
05da3161-1444-4188-914d-19762de3a443	434	0	0	0	0	1	5	6	0	0	0	0	24	0	0	0	0	0	1	0
06018aae-1107-4899-bd24-14e6b1f94709	423	0	4	0	1	0	0	2	0	0	0	0	29	0	0	0	2	0	0	0
0609b182-0396-4755-b463-10f949c5b8bb	367	0	3	4	58	0	12	5	3	1	3	0	22	0	0	0	2	2	8	0
