MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K
BP10MB[0]	0.7071472775936126	0.02140240694738439	0.5015046805143356	0.002264038146707226	0.34872935980558395	0.01752066516398579	0.0022572879002603894	0.021920555451652037	0.0743488745018857	0.03442978818413797	0.052942410642281175
BP10MB[1]	0.00017004550196215719	0.046838363367132846	0.08289315866306424	0.0019219666784465084	0.001070838050363818	0.007611310331267305	8.464937331154942e-05	0.0018576641790423308	0.00038882259192178035	0.003906665868020017	0.0031095266862403996
BP10MB[2]	0.0	0.042400359337916596	0.019128727404526556	0.0024407045787397546	0.0832088288620713	0.004201232591540247	0.0017155408939288463	1.5125832287594676e-05	0.044408690921991366	0.019666417574708835	0.0020120455561118433
BP10MB[3]	4.010778567042905e-09	0.024223847896791995	0.001872073381782684	0.00500206331606023	0.0008737341219385541	0.006630499276798219	9.91905527189374e-05	0.0008748370180546772	0.0018589585706649814	0.003570450835341461	0.0012276543166160536
BP10MB[4]	2.361305195819341e-10	0.01354282463900745	0.0	0.002498460960778175	0.005957165794097818	0.00417027827585116	0.004998799101449549	5.274398063193075e-06	0.010347628250019624	0.007173604465710923	0.0017946176168970854
BP10MB[5]	1.5360886925774865e-08	0.0060726821003481745	0.0	0.002798320617439458	6.278721703964152e-05	0.002232963671704056	0.0008921828487644776	0.0011568305174296256	0.0008186064925757819	0.0019453620750971368	0.0022551540620681355
BP10MB[>5]	1.936550784731317e-09	0.0003876783126686689	0.0	0.006364547434423003	0.0	0.0036791551345186236	0.01974202911835164	0.012508128727786243	0.0008493511604342529	0.006883889452518704	0.01163772093555565
BPArm[0]	0.10118808716535568	0.0011888992586864334	0.022079532458446918	0.00036584504345643865	0.014095535366795958	0.001226760494464543	0.00013690897259948542	0.0011059877730076554	0.003461058294342365	0.0021406086406801955	0.0010312134865407211
BPArm[1]	0.0014917181030614302	5.040216677684839e-05	0.018934607893461363	2.746456402746844e-06	0.00012555683497339487	1.800597543905713e-05	1.8437162169684385e-05	0.00016499246608749906	0.0	1.528509936136402e-05	3.6966250526191404e-05
BPArm[2]	0.00204683548072353	0.0	0.019477341360179708	0.0	0.01720912794320611	0.0002772488020517905	0.0	6.52029651181607e-06	0.00038220103800995275	0.00021676917213765635	5.9920124660721716e-05
BPArm[3]	3.207098148034864e-08	0.0011263092823355692	0.01051700534299016	1.087920172722079e-05	0.0014275283628376201	5.07828709778485e-05	1.8219987290168937e-06	2.2186862221005298e-05	0.0004379784312777701	0.000301153103746169	0.00015065440015859827
BPArm[4]	8.64785426601955e-09	0.0002336382805520998	0.006187174869701266	9.053868793671427e-06	0.011584025734902638	0.00047012044695035783	9.098955270019359e-06	0.00011546279199308174	0.0021889184218889567	0.0010551902299143422	7.138712525119218e-05
BPArm[5]	1.8924352354066086e-08	0.003029970924326335	0.004116847096011043	2.3912841770652447e-05	0.0015067034286099102	0.00011442335976242113	0.0	1.866320428884016e-05	0.000501573843698111	0.0003349519968633441	0.0003089196035712938
BPArm[6]	3.371026663367971e-09	0.0013712154775566887	0.0016511312686986912	9.759378756598381e-05	0.0060718288785724895	0.0005547614348836305	3.830136323813349e-05	4.234643541167316e-05	0.0031232267515336255	0.001131681320109621	0.000134584948889227
BPArm[7]	2.6104933610326953e-08	0.0033714852842967958	0.0014296196406939998	0.00015297334417680981	0.000985624734585944	0.00018969578250650266	3.5724938788916916e-06	8.319244983340468e-05	0.000643199486950307	0.0003591315062681133	0.00040704224801629607
BPArm[8]	1.4303859590114598e-08	0.0020578449513141096	0.00020866478863587723	0.0002418966269856071	0.003071572084111409	0.000913039639601152	3.9590835644958136e-05	1.7554020723764552e-06	0.002048811606655363	0.0009769756301244569	0.00012565366140515177
BPArm[9]	2.0237324700467242e-08	0.00237043075467227	0.0002549064948107116	0.0003032831700329552	0.0005222807463397316	0.00034970845677070097	2.8415520564522012e-05	2.082317499499763e-05	0.0008723549512160389	0.0005324043267260236	0.0002504443251257271
BPArm[10]	2.126967301840921e-08	0.00197272444376722	2.02848461128724e-05	7.813994418000903e-05	0.0014578776575692133	0.0005359807188501087	6.48366372994591e-05	2.4502975065843203e-06	0.001778760027664248	0.0007011344977620127	0.00021733938231818683
BPArm[>10 & <=20]	1.5439578804343767e-09	0.01103290150873363	0.0	0.0012407368941035203	0.0011447330104419962	0.0016618233044803788	0.0014514513344329315	0.00017051886725312216	0.004866801974130795	0.003118544002964294	0.0014585867359937766
BPArm[>20 & <=30]	2.8450728306594898e-08	0.001464611686533317	0.0	0.0012396165338577703	2.069943911919836e-05	0.00018433677734800647	0.0014604091802902985	0.0006058150678290986	0.0003006559873350767	0.001064706662972713	0.000893148119757825
BPArm[>30]	6.519080356426343e-08	2.3871187573210052e-05	0.0	0.0002776904532308322	0.0	4.904371379541583e-06	0.0030557284983296993	0.002517928896704689	8.031840130570344e-05	0.0004909549067478025	0.0007867976886017658
CN[0]	1.0609947954165477e-06	4.616199559194456e-05	1.6025396186947216e-07	0.0	0.017023206675469603	0.005674914634063839	1.4526842733175727e-08	1.5072896272521063e-05	0.022486187591452822	0.01803190227402297	2.1865384187549353e-05
CN[1]	0.00328014770289883	0.0009192995290545769	0.0002374383568644589	1.401298464324817e-47	0.004421352585341083	0.19721707031130792	0.0008665144433845953	0.0	0.03139077342115343	0.008570723848877719	0.0011766467324923725
