MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K
OsCN[1]	2.66E-05	7.64E-04	9.83E-04	3.48E-04	1.57E-03	3.72E-04	7.13E-04	3.89E-04	2.11E-03	1.70E-03	8.27E-04
OsCN[2]	2.93E-10	2.44E-04	2.15E-04	1.62E-04	3.50E-05	1.19E-04	1.24E-04	6.79E-05	1.60E-04	4.03E-04	1.97E-04
OsCN[3]	0.00E+00	1.98E-04	7.28E-05	1.32E-04	3.77E-04	1.94E-04	1.33E-04	1.78E-05	3.27E-04	4.53E-04	2.39E-04
OsCN[4]	7.67E-10	5.30E-05	3.36E-05	4.66E-05	1.27E-05	3.91E-05	9.46E-05	0.00E+00	4.30E-05	1.41E-04	1.08E-04
OsCN[>4 & <=10]	6.99E-10	1.71E-04	0.00E+00	4.27E-05	9.04E-05	7.03E-05	2.87E-04	0.00E+00	8.99E-05	3.63E-04	3.43E-04
OsCN[>10]	1.19E-09	1.90E-05	3.42E-10	8.91E-10	1.80E-10	2.65E-05	8.01E-05	4.75E-10	2.61E-09	6.51E-05	5.72E-05
SS[<=2]	4.33E-09	0.00E+00	1.22E-05	2.87E-05	2.28E-05	2.19E-06	1.37E-04	4.12E-05	1.53E-04	4.39E-05	6.15E-05
SS[>2 & <=3]	3.38E-09	0.00E+00	9.33E-08	3.69E-05	3.95E-04	4.08E-09	5.63E-04	2.95E-04	1.32E-03	2.08E-04	1.43E-04
SS[>3 & <=4]	2.42E-09	0.00E+00	9.65E-10	2.08E-05	1.67E-03	7.64E-05	3.14E-03	9.17E-04	5.24E-03	1.49E-03	7.04E-04
SS[>4 & <=5]	0.00E+00	7.28E-05	3.34E-05	4.06E-04	1.37E-03	9.91E-04	5.04E-03	1.27E-03	2.37E-03	3.93E-03	2.84E-03
SS[>5 & <=6]	1.59E-11	1.72E-03	0.00E+00	2.24E-03	2.05E-04	1.14E-03	5.29E-03	1.57E-03	1.60E-03	5.44E-03	3.63E-03
SS[>6 & <=7]	0.00E+00	2.16E-03	3.02E-04	1.60E-03	1.51E-03	1.60E-03	1.19E-03	7.79E-04	2.56E-03	3.80E-03	2.30E-03
SS[>7 & <=8]	9.39E-05	1.06E-03	1.35E-03	6.51E-04	2.62E-03	9.26E-04	5.27E-04	1.73E-04	1.81E-03	2.38E-03	7.62E-04
SS[>8]	8.86E-05	0.00E+00	2.15E-04	8.65E-11	1.28E-04	0.00E+00	8.65E-10	3.47E-10	2.08E-10	2.92E-10	4.86E-09
NC50[<=2]	4.74E-06	0.00E+00	4.31E-11	0.00E+00	0.00E+00	5.96E-10	3.63E-07	4.49E-06	7.40E-08	4.92E-08	6.98E-07
NC50[3]	4.07E-06	0.00E+00	9.62E-06	8.50E-07	1.23E-06	5.10E-06	1.51E-06	4.92E-06	1.87E-06	1.28E-06	4.82E-06
NC50[4]	3.97E-06	0.00E+00	2.16E-05	6.99E-07	2.58E-05	1.05E-05	1.65E-06	3.54E-06	1.47E-06	1.38E-05	1.27E-05
NC50[5]	1.64E-06	1.00E-10	1.61E-05	1.88E-06	3.03E-05	1.04E-10	1.72E-06	2.00E-07	2.14E-06	3.29E-06	6.93E-07
NC50[6]	6.64E-07	1.11E-05	1.29E-05	4.72E-06	2.39E-05	1.74E-10	1.25E-11	0.00E+00	1.79E-05	1.61E-05	5.51E-06
NC50[7]	7.60E-07	1.09E-05	1.00E-05	3.09E-06	1.42E-05	1.29E-09	7.65E-07	0.00E+00	1.66E-05	1.43E-05	5.68E-06
NC50[>7]	1.24E-06	3.31E-06	5.05E-06	7.80E-07	3.11E-06	7.86E-07	2.00E-11	9.46E-12	5.22E-06	4.55E-06	3.13E-06
BoChr[1]	3.32E-06	1.24E-03	6.37E-04	1.56E-03	8.48E-04	6.32E-04	2.69E-03	8.32E-04	4.46E-03	5.60E-03	4.15E-03
BoChr[2]	8.05E-06	7.08E-04	8.36E-05	9.45E-04	4.48E-04	4.13E-04	6.02E-04	0.00E+00	9.72E-04	8.78E-04	1.61E-04
BoChr[3]	8.42E-06	7.20E-04	2.06E-04	1.06E-03	3.52E-04	5.32E-04	9.44E-04	1.12E-05	9.78E-04	1.45E-03	3.83E-04
BoChr[4]	1.55E-09	7.88E-04	3.22E-04	9.24E-04	2.16E-04	5.07E-04	1.60E-03	2.99E-04	1.29E-03	3.21E-03	1.87E-03
BoChr[5]	1.69E-06	6.75E-04	4.20E-04	8.83E-04	2.41E-04	4.07E-04	2.43E-03	5.96E-04	1.65E-03	2.57E-03	8.66E-04
BoChr[6]	4.73E-06	6.89E-04	2.10E-04	1.16E-03	5.73E-04	6.36E-04	3.50E-04	3.27E-04	1.06E-03	2.96E-03	2.53E-03
BoChr[7]	1.16E-05	7.07E-04	4.94E-04	1.01E-03	3.69E-04	2.86E-04	2.14E-03	2.32E-04	1.70E-03	3.21E-03	2.01E-03
BoChr[8]	5.49E-07	2.08E-03	4.23E-04	1.41E-03	2.87E-04	8.18E-04	1.92E-03	1.16E-03	5.78E-04	1.03E-02	1.15E-02
BoChr[9]	2.06E-06	1.85E-04	5.81E-04	5.38E-04	2.76E-04	3.88E-04	3.66E-04	6.30E-05	3.87E-04	6.81E-04	1.63E-03
BoChr[10]	3.90E-06	4.00E-04	1.12E-04	4.45E-04	2.52E-04	2.48E-04	6.37E-05	0.00E+00	3.43E-04	1.18E-03	8.14E-04
BoChr[11]	1.50E-06	6.14E-04	2.62E-04	7.16E-04	5.78E-04	3.12E-04	1.23E-03	1.57E-03	2.28E-03	3.85E-03	7.36E-03
BoChr[12]	1.27E-08	4.52E-04	3.12E-04	1.29E-04	3.96E-04	2.61E-04	1.89E-03	1.27E-03	2.92E-04	4.87E-03	2.22E-03
BoChr[13]	3.92E-06	2.84E-04	2.28E-04	3.02E-04	3.86E-04	2.48E-04	1.59E-04	1.75E-05	5.78E-04	5.51E-04	6.15E-04
BoChr[14]	7.65E-06	2.30E-04	1.41E-04	2.50E-04	2.11E-04	1.62E-04	1.15E-04	8.22E-05	2.92E-04	3.55E-04	6.16E-04
BoChr[15]	1.44E-07	1.70E-04	1.04E-04	2.33E-04	1.31E-04	1.42E-04	1.21E-04	8.31E-05	4.03E-04	3.38E-04	7.01E-04
BoChr[16]	5.35E-07	1.70E-04	2.07E-04	1.77E-04	2.90E-04	5.45E-05	2.03E-04	9.91E-05	2.86E-04	4.05E-04	7.00E-04
BoChr[17]	9.40E-06	2.13E-04	1.54E-03	2.62E-04	2.82E-04	2.07E-04	3.33E-04	1.08E-03	7.52E-04	3.18E-03	7.54E-03
BoChr[18]	5.98E-07	3.11E-04	3.06E-04	4.70E-04	3.46E-05	2.71E-04	1.99E-04	1.01E-04	4.79E-04	5.57E-04	9.20E-04
BoChr[19]	2.55E-09	9.87E-05	8.68E-04	5.17E-04	5.66E-04	2.42E-05	5.28E-04	2.16E-04	8.85E-04	6.22E-04	3.36E-03
BoChr[20]	2.11E-09	2.19E-04	5.97E-04	3.13E-04	4.45E-04	1.28E-05	2.67E-04	3.66E-04	6.58E-04	6.34E-04	2.26E-03
BoChr[21]	6.43E-06	1.55E-04	2.01E-04	2.51E-04	9.38E-05	2.10E-04	3.50E-04	8.13E-05	2.41E-04	3.52E-04	3.40E-04
BoChr[22]	6.56E-06	7.35E-05	3.52E-04	2.63E-04	1.48E-04	1.61E-04	1.30E-04	3.69E-05	1.83E-04	3.15E-04	1.23E-03
BoChr[23]	1.27E-05	3.91E-04	3.65E-05	3.49E-04	2.17E-04	3.00E-04	9.02E-04	2.34E-04	7.47E-04	5.24E-04	5.26E-04
