MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R	SBS80S	SBS80T	SBS80U	SBS80V	SBS80W
BP10MB[0]	0.7382639473676682	0.45824320524930956	0.6739111998677254	0.03479867907177723	0.0015838898036423827	0.001649094326008968	0.031218872172757983	0.01649903292514797	0.047793595993584057	0.10747641159896996	0.04947355372670669	0.003136370632422762	0.04871932571782308	0.012540619873897747	0.016103820472436116	0.03503801540727155	0.0051133572395708	0.08312493577133864	0.0466983310302078	0.015678363883778336	0.009931041313779863	0.026425580192588984	0.09941401412254436
BP10MB[1]	0.0	0.005166828962699128	0.05486207040026784	0.05352822384564206	7.072476611938327e-05	0.003080590611918758	0.0010628539246681612	0.0036939548730424575	0.003403819741524785	0.06604584581102245	0.005106774955056608	0.00013127548998454586	0.00030539395616870026	0.0025114186445716804	0.002199587845680074	0.005959929850068875	0.0003739548183511943	0.0018408832210051627	0.0018306333613924153	0.0010583840398201312	0.0042345389388356155	0.005321185500648437	0.013720429006752966
BP10MB[2]	0.0	0.11521561905741691	0.0034678518937255624	0.047752485417295244	0.0032173358854418054	0.0009145988497766667	2.802596928649634e-47	3.222284489311278e-05	0.03865936839953065	0.017132872228378348	0.053339736892376095	0.0015162683390371966	0.006499685675298679	0.008859134416678153	0.010902525713330842	0.002077807210152969	0.009021516019464028	0.0007076291659359571	0.0015721913656316254	0.001890273493344849	0.0008048757159304637	0.00426827296674185	0.000522023586981959
BP10MB[3]	3.5816760979301422e-09	0.000742660044556942	0.00034444596331766774	0.03397622114047408	0.0019391325503238478	0.00242510372882208	0.00040629707445077656	0.0016331528343660599	0.004013348898237155	0.008741579399390957	0.007841241884598275	8.615645161626162e-05	0.0004814893782269891	0.00216882140032554	0.0016813700084838958	0.004551798275162139	0.002012474574476073	0.00023112673858804555	0.0006959362484616705	0.0007190609409781245	0.0013661295070812685	0.003732582225828622	0.004826636795209026
BP10MB[4]	3.700630291092466e-09	0.004157355542377558	0.0	0.01920966383535415	0.009694585903489497	0.0009536840126708057	0.0	0.0007469337922654872	0.015271649986852936	0.00447174640476689	0.014625606610206888	0.0037454473809225446	0.0015386257364774281	0.001986320594306079	0.005955797114540461	0.003435718393553498	0.0008876581278318321	2.5123668456217275e-06	7.891551842476475e-05	0.0006381321208144186	0.0010501400725661369	0.0022704167803334484	9.659765055403113e-06
BP10MB[5]	2.2192467212800436e-08	0.0	0.0	0.009298946720082312	0.0041493900610839775	0.002285955644224487	0.0011568049292327487	0.0005485260532549318	0.0009654511060853111	0.0008617529773619026	0.0034135084060108057	0.0001584020321178059	0.0001350378159605725	0.0008129063124397363	0.000858236739086351	0.0012683776027481032	0.00030297444810304606	0.0015647479009820132	0.0009781280316098584	0.0003881283764536647	0.00014906950272740318	0.001071158773024763	0.0021498048089279107
BP10MB[>5]	2.6235465149238023e-08	0.0	0.0	0.0014814397173631732	0.028206826569512487	0.010329041026488994	0.015425448454916477	0.001292172063146495	0.002210892186426463	0.0007081566844135522	0.001522077476671484	0.012153820496783681	0.0003459945573007417	0.0024257321052755286	0.00030898025001192765	1.204876811200961e-05	0.00017343774437904357	0.0008215458970536816	0.0009903133584998614	0.0007530754451625149	0.0008789266483799451	0.0003798064263537526	0.0002520965598523617
BPArm[0]	0.10853400692343712	0.016966406321153045	0.04301065008156001	0.0019535905323573386	0.00014997630987778656	3.045237198788231e-05	0.001068170405657468	0.00169438513013489	0.004058879342572937	0.003196060150476683	0.0026786347181769086	0.000131217600511746	0.002322054185049831	0.0012267692988461932	0.0026482981095901793	0.0026584317457309242	0.0007443200194037078	0.0041957296097025285	0.0006263941048109797	0.0016645536291442972	0.0011467298690695316	0.0014140441114544177	0.001372532066195049
BPArm[1]	0.00042302141174566544	0.0009646510253115537	0.02219094938862554	0.00010194246441203703	6.370656162602017e-09	2.7198685081941678e-09	2.881092462986068e-05	6.984234346418816e-10	4.5984023699929823e-10	0.004730776079849761	7.804261770161247e-10	2.9082283494474835e-06	2.8788046577687965e-08	1.401298464324817e-47	0.00039762305251365147	0.00034122879633287085	2.802596928649634e-47	0.0	0.000518195522112137	3.590862377009785e-06	0.00018305477166745022	0.0006751444563269615	0.002214143266901374
BPArm[2]	0.0008226331184392422	0.02119104712852277	0.030546675748009875	0.0	1.1574906699785004e-10	7.846665539545939e-11	7.783649757904243e-06	0.00013175694680580538	0.0001803729387114661	1.152498736742562e-06	0.0001132544611409303	2.802596928649634e-47	0.0008386067056051161	2.885719041501034e-10	6.420233602852931e-06	2.1540257421293064e-07	1.401298464324817e-47	1.7839400503447677e-05	3.0327142994441835e-05	5.830588065691699e-09	4.7410288589624374e-05	1.401298464324817e-47	1.6152507258393457e-07
BPArm[3]	2.8765262167773643e-08	0.002364376344002039	0.007060482889519051	0.0016248296193953138	3.5117701584397307e-06	9.097893780563027e-07	9.137021170317893e-06	0.0	0.0004582182481324182	0.006389011125756952	0.00016277322489983704	1.9978143336807363e-05	0.00010829647164797506	1.8838721136518242e-05	0.00023804539534751256	0.000384950657767007	2.9816481038373865e-05	9.927673526760828e-05	0.0003684112712112053	1.6324312018269893e-05	0.0003815632294029925	0.0005090672764072224	0.0014790746997289262
BPArm[4]	1.1849105017169847e-08	0.01763986519147693	0.0032246516813756896	0.0005249204997198831	0.0	9.844920714385807e-07	0.0004509589265118308	8.345601247699009e-05	0.0015113620895317581	0.0011984488793687163	0.0010875468419988888	1.401298464324817e-47	0.0006967462308541883	7.10598738780277e-05	0.00010758776530565228	0.00011047700026040275	6.905308055138448e-08	0.00014901056973030792	0.00015246846850686785	0.00022979724587887773	0.00011912691963204155	2.7843832157259385e-05	0.0005645834991736365
BPArm[5]	3.578909700152621e-08	0.002682490329025313	0.0012443504127440973	0.0030869849747757173	0.0	6.840100395493209e-06	6.305818081862924e-05	4.014639210637938e-05	0.0006865013357379013	0.004508822013813188	0.00038959962580648267	5.295078153721988e-09	0.00010118632884996259	0.00021312135687587386	0.00016762002369432593	0.00032312501311906774	2.1435045341604563e-05	0.0003565440068268799	0.0008440808577219628	1.3526104775678504e-05	0.0002491061061743949	0.00040699098876193494	0.0008658921907704098
BPArm[6]	4.4706123425442e-09	0.008823606673395261	6.227362732602159e-05	0.0013202252612973097	1.0214536973121988e-05	7.102519903128268e-05	8.296362215025388e-05	0.00028518131501215294	0.002481546566762063	0.0008391631038102787	0.0027906728506786748	0.00024314602196682256	0.0005862681151491778	0.00022973851778523624	0.00019819575457838328	0.0006764514217837814	8.167528706565008e-05	0.00018877020558079492	0.00039384003741801623	0.0003644426738102879	0.00030580818380258277	0.0003334549596638681	0.0013853143766527866
BPArm[7]	3.436864654204896e-08	0.001520063289135578	0.0002472524522454478	0.003430302196572015	1.401298464324817e-47	9.840269991405632e-05	1.9852873248780157e-05	4.557997490337584e-06	0.00038685746545448653	0.002547552463061038	0.0009462027658446459	2.8799676048385513e-05	0.00011614816973015251	0.00010176024476010085	0.0009083224320056615	0.0002920952337990457	8.86665823654198e-05	6.834420900229787e-05	0.00039266238931077167	9.549328053253702e-05	0.00014069321166090276	0.0014586496614924726	0.002299912802012543
BPArm[8]	1.743833610734491e-08	0.004291354697197675	5.394711927344531e-06	0.0023920458916109064	7.237075809825911e-05	8.526379819613794e-05	4.435215087141841e-06	0.0001953969972328906	0.0019686688310048338	0.0005363588027557853	0.0023798923264212136	0.00010198952867234095	0.000375084516911948	5.64668593483475e-05	0.0003169878477092425	0.0002508308371818657	0.00011451060084482378	0.0005256656870221832	0.00015944376890598023	0.00037595778415152383	0.00014478352867858035	0.0001180845826456789	0.0005043098640337007
BPArm[9]	1.7262653996548883e-08	0.0005776816177615274	2.0231736343703232e-05	0.0025992847997622446	6.665365781373111e-05	4.157871857873611e-05	1.0702445729293686e-06	6.201010980172228e-05	0.0007271421867881144	0.0013623293795649262	0.0014267306056717644	9.771463727386021e-05	9.131841658316375e-05	0.00031814968190551284	0.0008923697842908496	0.0003482514007680493	0.00035981036953614876	0.00011225302621568289	0.00011801116070955686	0.00026790237109578175	0.0001404325374801374	0.00022957520281465804	0.0015769579795005483
BPArm[10]	2.2820935270950748e-08	0.0017355913593200968	0.0	0.0021799570201255845	0.00026602036488156957	1.3658867892445415e-05	1.0492538422113285e-06	0.00013081345020111713	0.001577625080285543	0.0005275981767616411	0.0024431501975050196	0.0002148425749692251	0.0002724334282385854	0.00014328466142540463	0.0005207620970637094	0.0002753880517639118	5.204522033182002e-06	2.7631313227800546e-05	0.00026338772938970577	0.00010729056412742466	0.00010870568619850474	0.0004591681157757152	0.00010179076240490303
BPArm[>10 & <=20]	1.7212106426587444e-08	0.00025850228827039245	0.0	0.015249476283788681	0.0032650946097374156	0.0006270406891417224	2.611575787113907e-05	0.00029160227399300354	0.004857011294152471	0.0015695125683681966	0.008802971327095293	0.0022077150189772966	0.0005639396143953945	0.0010811500935528785	0.002071453782837125	0.0009190354482484508	0.00020757950296570015	0.00036642048045450794	0.00022853776667176363	0.0003473500518708761	0.00019313852524021512	0.002277899701859951	0.0005508481609987825
BPArm[>20 & <=30]	4.0153157878641824e-08	0.0	0.0	0.0021672874689102175	0.002981044219559408	0.0016739784580775009	0.0006029135259586838	1.0398561219737701e-05	0.00035053553116910053	0.00033100019327200416	0.0010978432697993411	0.00020492197177727434	4.422343063254175e-05	0.00043901858032540986	0.00014285658058270202	0.00022023133355219215	4.132298390686628e-05	3.8632082626008925e-05	0.00013122008661468952	3.675033653848914e-05	7.765375213068637e-05	0.0005509487220726328	3.83819480339298e-05
BPArm[>30]	6.958214800789619e-08	0.0	0.0	3.046219702810049e-05	0.0035759735747706144	0.001289497120078451	0.0029347451822832227	3.66329432971213e-06	5.801215045210029e-05	4.214033368043602e-05	7.699463167227804e-06	0.0008897487985776031	1.8206885277720632e-05	7.524446467868984e-05	4.349380265921354e-05	5.864820466570326e-06	2.0743511340697298e-05	3.009518695762381e-07	8.575938800788663e-05	7.341753200904578e-05	3.2032519030735784e-05	3.2983421187964266e-05	5.474139034049585e-06
CN[0]	7.228488921029452e-07	5.385199403567853e-05	1.2114544367669566e-07	4.801230069544915e-09	2.802596928649634e-47	1.401298464324817e-47	1.3683065416270069e-08	0.001006246215555188	0.116707389103492	0.006791297286994791	0.004244355489158647	3.1108747009511716e-08	0.005236654492201538	3.1245619425135374e-09	0.015252573901519871	3.411251373819368e-08	1.719930040167128e-08	2.9196878017501147e-08	7.415791962101321e-08	0.0021017414602345972	5.552129415775653e-08	5.1932719467895394e-08	2.4406528358746875e-08
CN[1]	0.0010135641289042362	2.356778079359856e-09	1.4038917572282314e-06	5.984360770344033e-05	7.55664813809176e-06	4.203895392974451e-47	2.802596928649634e-47	0.3852857258915901	0.032601279276582025	0.0031341196338471188	0.0183893642019307	0.002604183582918176	0.0037280463972192922	4.428540378853541e-09	0.008554329737072947	0.0010636602933277572	0.0006883732974529266	0.00028001238184345784	0.0005722427674002972	0.0018544414324191583	0.0008101374356149904	0.00031206702553023767	0.0014524427274832873
CN[2]	0.009426696909855415	0.022874945054137272	9.627561084926128e-05	0.006401117821674176	0.05063203188208377	8.011019413288716e-05	0.00064293502131477	0.22232675389677753	0.05317918842543021	0.013663582496672369	0.004465904594618519	0.013671789307919704	0.7330561801791191	0.0010232628606193226	0.01007891516615788	0.003169414641742634	0.0010249412836554515	8.699690695989379e-05	0.0014091000303247468	0.004115013183168268	0.00863643639117365	0.00032983546905597906	0.0012232918451369472
CN[3]	6.686231282193589e-08	0.0009524344283090613	0.007807193631306291	0.01801922244320167	0.10450131801795579	0.0005067749853261044	0.0019652331934776157	0.0	4.203895392974451e-47	0.25251767789945007	0.034990381732939994	0.011945362162603857	0.00096208408243033	0.10031219856428807	0.014983734629217905	0.0226929855783834	0.05981692712681252	0.07004130093017587	0.02516676906819967	0.06256507217958586	0.030333357646370587	0.03673552350034523	0.047025046714937846
CN[4]	6.620542242208316e-09	0.0	8.237227730928165e-05	0.0012720368905324618	0.003480815603425587	0.11610984290869282	0.0036928238868131303	0.0	0.01204923886624556	0.046034613971654606	0.006542133043429717	0.0019252235140225793	0.0006363028740361187	0.28248459905633355	0.016188571842908884	0.01703663556021514	0.0029170350444491676	0.013155499227197186	0.03553201071892431	0.01712918450130502	0.015857813671764108	0.018362577290585592	0.01606608735874777
CN[>4 & <=8]	5.359361399115414e-08	4.355798068900185e-09	5.179469653171508e-10	0.0009028454693461541	4.945542855239182e-08	0.30945573274155236	0.047159907753961644	0.0	0.0007707628376344644	2.5342579076603753e-07	0.07224191882827419	0.0016556910616921528	6.930160216711556e-07	0.018857149473647822	0.009361037498713216	0.0029523827754714916	8.192927366508229e-06	1.5407533622351368e-05	0.0007859864294501779	1.1470142372260738e-06	0.00020442392974537427	5.816253675429815e-05	2.2903128562035137e-05
CN[>8]	1.545805777114495e-07	7.981278153934568e-09	5.034399137571199e-09	2.461028747563221e-08	2.370747829161246e-09	0.002858575289442342	0.20933832511305808	8.900435943814955e-11	3.5237406041943586e-08	1.0328239596901766e-09	0.00019888092605004458	6.924466760205305e-08	4.840049783183531e-09	5.094013562967348e-08	1.7832729668043612e-07	7.042102747600864e-09	3.099505519799095e-08	8.376131130916064e-09	4.285284131103758e-08	8.242116251722109e-09	1.1201969677276935e-05	6.359634710406681e-08	3.248840343417214e-09
CNCP[0]	0.05010182101279497	5.700852483415968e-09	0.00022138745495340118	7.824307601822511e-10	0.0	0.0	0.0	0.0	0.0009878145675351392	6.144463084638119e-05	0.00013866622050461074	0.0	5.248744247012382e-05	0.0	0.0002344160433858633	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CNCP[1]	0.0	0.07502382862847298	0.025017839760088235	0.22552698597311974	0.33942912325263025	0.019117016010212543	5.6480425409972665e-05	0.20344745375576168	1.6815581571897804e-46	0.11122976141588588	0.0003874065270519367	0.2975728896260261	0.020352179799228907	0.0023382529243826866	0.009409456268406545	0.00616820678114891	0.008273556895728689	0.0018572335690259934	0.0029581607552245258	0.029510365474270658	0.028199459686875344	0.005137482658028622	0.009703751710154683
CNCP[2]	1.3107096787923212e-08	3.257664161537832e-08	2.7149290104944156e-09	0.001446841418633653	0.0001676582545042038	0.10751957305823077	0.0014920134288641065	2.673421128918108e-10	0.3161398088089936	0.004669109674670082	0.01909173896356805	0.022418020937220718	0.004593444326525571	0.1811808614279869	0.0024796070961275517	0.0025655774959247426	0.0008295068888242118	8.157216549037116e-05	0.017434512442668516	6.029859832779038e-07	0.019702247814246076	4.973496515958748e-07	0.003915611168303599
CNCP[3]	1.1799690952662979e-08	1.2848225061645735e-08	1.399088347397992e-09	0.0034558267087427905	4.150740235207451e-05	0.036622411855496466	0.023446672721765937	5.369483688610928e-07	0.001656537091394803	0.0011227303539362765	0.11625357128679753	0.005042901201759378	0.000307515464524073	0.004644182066746225	0.00012093008631637758	0.0011124644590566402	1.669923801728146e-07	4.3417669223728694e-05	0.0009491864221237733	6.165569510798719e-06	0.007479633103486662	0.00014447950183466674	0.0018619278906197678
CNCP[4]	1.2772979893493909e-07	2.3517785052717956e-09	7.589556238586364e-08	0.00043810403207316994	2.258700769175448e-07	0.01622512548134978	0.032391069009900096	1.401298464324817e-47	0.0005332019302906055	0.0003321955096907914	0.05577414890751243	0.0010458644584130639	8.291694851898512e-06	0.0003419346838899173	3.413239864268868e-05	0.000227893751175543	1.4012984643248171e-46	1.1953315400603515e-07	0.00018766090495972334	3.547584340935828e-05	0.0001344600417678521	9.43974966390585e-07	0.0005174687637558151
CNCP[>4 & <=8]	1.3459898442036434e-07	1.57603804762374e-08	5.837152276200186e-08	0.00011866817330362878	0.0	0.0010193729082769564	0.0965084508806467	0.0	1.6800001532291844e-08	3.5543107816948806e-08	0.05890773209743202	0.001001124122811845	1.872887699150283e-08	3.5735399706027236e-09	9.103955793676733e-09	5.248451370540863e-05	5.8461088769945494e-09	2.4974605778993464e-08	3.06115242665328e-08	2.9677068145161913e-08	5.106014114630852e-08	1.0644714421914614e-07	6.952795498269104e-05
CNCP[>8]	2.4256842159786627e-07	2.1398393934557447e-07	4.97983974856453e-07	0.0	0.0	0.0	0.09611000053584576	1.563048955111057e-07	1.9051012829507386e-08	1.713235864286844e-09	2.2242750605805384e-08	1.0668911761158028e-07	1.3760342585315832e-07	1.1230825558428136e-09	3.890538973365665e-06	1.9233678049338129e-19	0.0	0.0	3.97194393642053e-08	6.860896313298781e-08	3.00349329260996e-05	2.7376690923119897e-08	6.370640903696767e-10
